provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
buenos aires	25 de mayo	339	0.6372248048416805	352	15	0.36277519515831946	23508	22802
buenos aires	9 de julio	566	0.6396890574554117	443	9	0.3603109425445883	32921	31903
buenos aires	adolfo alsina	219	0.6654146486112484	145	0	0.3345853513887516	10481	10117
buenos aires	adolfo gonzales chaves	132	0.5451579222135213	170	1	0.4548420777864787	7965	7662
buenos aires	alberti	230	0.5821862348178137	6	1	0.4178137651821862	7647	7410
buenos aires	almirante brown	5584	0.41103078904237883	4842	176	0.5889692109576211	352282	341680
buenos aires	arrecifes	340	0.5835043085761181	203	11	0.4164956914238818	20050	19496
buenos aires	avellaneda	4802	0.42398099581563403	2508	182	0.576019004184366	228075	220583
buenos aires	ayacucho	451	0.5496051911500274	270	5	0.45039480884997263	13517	12791
buenos aires	azul	730	0.5747918461096756	1071	9	0.42520815389032446	43606	41796
buenos aires	bahia blanca	3792	0.6328613181433946	3710	114	0.36713868185660536	188613	180997
buenos aires	balcarce	530	0.6534273115980759	619	2	0.3465726884019241	31087	29936
buenos aires	baradero	337	0.48688701663426226	468	22	0.5131129833657377	23972	23145
buenos aires	benito juarez	321	0.5172972535040103	271	6	0.48270274649598965	12941	12343
buenos aires	berazategui	3754	0.4425073503469364	2311	54	0.5574926496530637	218694	212575
buenos aires	berisso	1396	0.43566315450816373	577	38	0.5643368454918363	64176	62165
buenos aires	bolivar	357	0.6156602289609369	399	1	0.3843397710390632	23643	22886
buenos aires	bragado	534	0.5745900162191386	483	5	0.4254099837808614	28767	27745
buenos aires	brandsen	286	0.549689284090335	333	25	0.45031071590966504	20437	19793
buenos aires	campana	985	0.5242512919494428	1034	29	0.47574870805055725	66292	64244
buenos aires	canuelas	661	0.5137931034482759	374	22	0.4862068965517241	39337	38280
buenos aires	capitan sarmiento	202	0.6442270058708415	85	3	0.3557729941291585	10510	10220
buenos aires	carlos casares	330	0.6243421490906669	79	1	0.3756578509093332	15421	15011
buenos aires	carlos tejedor	143	0.518166645268969	73	2	0.48183335473103095	8007	7789
