provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
buenos aires	25 de mayo	339	14530	352	15	8272	23508	22802
buenos aires	9 de julio	566	20408	443	9	11495	32921	31903
buenos aires	adolfo alsina	219	6732	145	0	3385	10481	10117
buenos aires	adolfo gonzales chaves	132	4177	170	1	3485	7965	7662
buenos aires	alberti	230	4314	6	1	3096	7647	7410
buenos aires	almirante brown	5584	140441	4842	176	201239	352282	341680
buenos aires	arrecifes	340	11376	203	11	8120	20050	19496
buenos aires	avellaneda	4802	93523	2508	182	127060	228075	220583
buenos aires	ayacucho	451	7030	270	5	5761	13517	12791
buenos aires	azul	730	24024	1071	9	17772	43606	41796
buenos aires	bahia blanca	3792	114546	3710	114	66451	188613	180997
buenos aires	balcarce	530	19561	619	2	10375	31087	29936
buenos aires	baradero	337	11269	468	22	11876	23972	23145
buenos aires	benito juarez	321	6385	271	6	5958	12941	12343
buenos aires	berazategui	3754	94066	2311	54	118509	218694	212575
buenos aires	berisso	1396	27083	577	38	35082	64176	62165
buenos aires	bolivar	357	14090	399	1	8796	23643	22886
buenos aires	bragado	534	15942	483	5	11803	28767	27745
buenos aires	brandsen	286	10880	333	25	8913	20437	19793
buenos aires	campana	985	33680	1034	29	30564	66292	64244
buenos aires	canuelas	661	19668	374	22	18612	39337	38280
buenos aires	capitan sarmiento	202	6584	85	3	3636	10510	10220
buenos aires	carlos casares	330	9372	79	1	5639	15421	15011
buenos aires	carlos tejedor	143	4036	73	2	3753	8007	7789
buenos aires	carmen de areco	173	5944	47	3	4310	10477	10254
buenos aires	castelli	75	3392	124	0	2735	6326	6127
buenos aires	chacabuco	657	17811	571	18	15232	34289	33043
buenos aires	chascomus	886	15019	266	3	10582	26756	25601
buenos aires	chivilcoy	901	24086	732	26	20820	46565	44906
buenos aires	colon	255	8789	204	4	7916	17168	16705
buenos aires	coronel de marina leonardo rosales	511	26898	517	12	10013	37951	36911
buenos aires	coronel dorrego	162	6420	186	4	3693	10465	10113
buenos aires	coronel pringles	252	9457	316	8	4858	14891	14315
buenos aires	coronel suarez	350	16441	700	4	8528	26023	24969
buenos aires	daireaux	166	6793	149	1	4035	11144	10828
buenos aires	dolores	246	11216	384	3	7279	19128	18495
buenos aires	ensenada	931	16605	321	31	27325	45213	43930
buenos aires	escobar	2327	77235	1622	180	70177	151541	147412
buenos aires	esteban echeverria	2932	84988	2786	117	96277	187100	181265
buenos aires	exaltacion de la cruz	301	14489	367	2	9784	24943	24273
buenos aires	ezeiza	1832	52981	824	28	57175	112840	110156
buenos aires	florencio varela	4015	91681	1417	45	157084	254242	248765
buenos aires	florentino ameghino	65	3785	95	1	2361	6307	6146
buenos aires	general alvarado	455	15668	400	21	12376	28920	28044
buenos aires	general alvear	198	4024	43	2	2389	6656	6413
buenos aires	general arenales	171	7488	102	2	3830	11593	11318
buenos aires	general belgrano	243	7403	104	3	5107	12860	12510
buenos aires	general guido	30	920	44	0	972	1966	1892
buenos aires	general juan madariaga	272	8437	169	16	5053	13947	13490
buenos aires	general la madrid	105	4413	194	0	2720	7432	7133
buenos aires	general las heras	198	5583	164	3	5474	11422	11057
buenos aires	general lavalle	31	2128	42	0	1270	3471	3398
buenos aires	general paz	186	4884	89	2	4198	9359	9082
buenos aires	general pinto	116	4439	93	2	3459	8109	7898
buenos aires	general pueyrredon	7322	223162	8887	224	170260	409855	393422
buenos aires	general rodriguez	1051	31299	537	40	34720	67647	66019
buenos aires	general san martin	4899	122681	3552	197	133850	265179	256531
buenos aires	general viamonte	196	6597	190	3	5490	12476	12087
buenos aires	general villegas	180	12577	240	0	5909	18906	18486
buenos aires	guamini	176	4397	30	1	3121	7725	7518
buenos aires	hipolito yrigoyen	79	3509	90	1	2325	6004	5834
buenos aires	hurlingham	1693	54429	1943	56	62875	120996	117304
buenos aires	ituzaingo	2747	52845	1498	64	58026	115180	110871
buenos aires	jose c. paz	1926	67356	2123	124	100499	172028	167855
buenos aires	junin	1122	34593	973	56	26116	62860	60709
buenos aires	la capital	78	2262	62	1	1459	3862	3721
buenos aires	la costa	832	31741	580	17	23671	56841	55412
buenos aires	la matanza	13193	303672	8748	334	478833	804780	782505
buenos aires	la plata	9907	208515	7640	400	204713	431175	413228
buenos aires	lanus	6308	123042	3608	190	157320	290468	280362
buenos aires	laprida	124	3852	166	0	3243	7385	7095
buenos aires	las flores	339	9639	268	0	7000	17246	16639
buenos aires	leandro n. alem	170	6458	150	3	4721	11502	11179
buenos aires	lincoln	402	17782	368	7	10367	28926	28149
buenos aires	loberia	185	5865	303	5	4556	10914	10421
buenos aires	lobos	698	15501	192	18	9397	25806	24898
buenos aires	lomas de zamora	7383	160971	5451	221	227514	401540	388485
buenos aires	lujan	1182	39877	1130	52	30431	72672	70308
buenos aires	magdalena	314	6670	117	1	5159	12261	11829
buenos aires	maipu	99	4087	172	0	3087	7445	7174
buenos aires	malvinas argentinas	2667	92179	2295	238	120549	217928	212728
buenos aires	mar chiquita	374	12055	254	0	10309	22992	22364
buenos aires	marcos paz	662	15205	394	7	21219	37487	36424
buenos aires	mercedes	775	26217	855	21	17921	45789	44138
buenos aires	merlo	4741	122827	3450	322	183842	315182	306669
buenos aires	monte	338	8499	228	12	6038	15115	14537
buenos aires	monte hermoso	165	3318	63	3	2948	6497	6266
buenos aires	moreno	5029	108116	2376	254	158839	274614	266955
buenos aires	moron	4341	105225	3825	180	102965	216536	208190
buenos aires	navarro	146	7277	179	0	4473	12075	11750
buenos aires	necochea	1246	37845	1079	10	22615	62795	60460
buenos aires	olavarria	1281	41393	1560	37	29374	73645	70767
buenos aires	patagones	309	11808	355	1	8498	20971	20306
buenos aires	pehuajo	431	15759	541	0	11183	27914	26942
buenos aires	pellegrini	81	2654	41	0	1167	3943	3821
buenos aires	pergamino	1054	41846	1128	57	25051	69136	66897
buenos aires	pila	42	1550	55	1	1177	2825	2727
buenos aires	pilar	2497	108260	2700	113	99478	213048	207738
buenos aires	pinamar	245	13600	368	12	7231	21456	20831
buenos aires	presidente peron	610	21223	817	25	32025	54700	53248
buenos aires	puan	190	7031	215	0	2930	10366	9961
buenos aires	punta indio	109	4339	113	2	3118	7681	7457
buenos aires	quilmes	6956	156553	3381	184	204429	371503	360982
buenos aires	ramallo	509	12924	168	3	10944	24548	23868
buenos aires	rauch	349	5407	161	11	4760	10688	10167
buenos aires	rivadavia	210	6994	84	0	3979	11267	10973
buenos aires	rojas	332	9475	296	4	5836	15943	15311
