provincia	departamen	EN BLANCO	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	HACEMOS POR NUESTRO PAIS	JUNTOS POR EL CAMBIO	LA LIBERTAD AVANZA	NULO	OTRO	UNION POR LA PATRIA	total
buenos aires	25 de mayo	925	351	1058	7709	7166	150	45	7681	25085
buenos aires	9 de julio	746	720	1753	11177	10223	210	10	9028	33867
buenos aires	adolfo alsina	361	169	599	3426	3422	51	21	2611	10660
buenos aires	adolfo gonzales chaves	441	119	438	1934	2312	72	18	2991	8325
buenos aires	alberti	292	123	356	2268	2179	1	3	2710	7932
buenos aires	almirante brown	8821	15165	12191	63045	79349	2709	343	173547	355170
buenos aires	arrecifes	643	252	1073	5334	5902	78	16	6993	20291
buenos aires	avellaneda	5110	8370	6563	53651	45868	1087	359	110106	231114
buenos aires	ayacucho	676	297	868	4253	3623	75	42	4332	14166
buenos aires	azul	1316	1095	2807	11662	13076	464	39	14306	44765
buenos aires	bahia blanca	5242	7387	8270	55366	60996	2008	321	52967	192557
buenos aires	balcarce	987	575	1942	9986	10100	215	26	7835	31666
buenos aires	baradero	879	453	1232	4576	6227	185	51	10528	24131
buenos aires	benito juarez	1138	304	768	2770	3749	75	21	5471	14296
buenos aires	berazategui	5709	9382	7307	39351	54563	1140	343	103047	220842
buenos aires	berisso	2022	2306	2028	13605	14244	212	93	29945	64455
buenos aires	bolivar	696	461	1041	7832	6948	127	48	7817	24970
buenos aires	bragado	926	450	1622	8341	7832	208	34	9593	29006
buenos aires	brandsen	711	387	931	5778	5890	126	51	7628	21502
buenos aires	campana	2291	2106	2199	19820	17199	418	51	23910	67994
buenos aires	canuelas	913	1323	1431	8013	10819	200	106	16412	39217
buenos aires	capitan sarmiento	412	175	703	3408	3467	34	4	2783	10986
buenos aires	carlos casares	594	303	761	4143	5221	21	95	4746	15884
buenos aires	carlos tejedor	442	148	347	2531	1825	17	13	3402	8725
buenos aires	carmen de areco	523	133	576	2745	3285	7	3	4050	11322
buenos aires	castelli	205	86	241	1760	1572	37	10	2593	6504
buenos aires	chacabuco	818	765	2007	8128	10193	243	63	13379	35596
buenos aires	chascomus	1157	595	1503	8714	7139	63	40	8367	27578
buenos aires	chivilcoy	2252	780	5925	10400	12573	219	85	15845	48079
buenos aires	colon	642	307	1207	4138	4343	65	23	6826	17551
buenos aires	coronel de marina leonardo rosales	1122	890	1637	12037	15121	277	28	7485	38597
buenos aires	coronel dorrego	452	174	418	3755	3139	60	41	3030	11069
buenos aires	coronel pringles	557	380	647	4597	5007	127	37	3534	14886
buenos aires	coronel suarez	857	720	2100	7173	8533	322	88	7095	26888
buenos aires	daireaux	486	154	375	3619	3614	48	27	3768	12091
buenos aires	dolores	817	228	657	7151	5415	147	40	6506	20961
buenos aires	ensenada	1281	1629	1088	7665	9447	121	129	24388	45748
buenos aires	escobar	4448	5274	5403	29676	44742	833	269	63308	153953
buenos aires	esteban echeverria	5133	7584	6367	35116	49147	1448	236	82369	187400
buenos aires	exaltacion de la cruz	707	569	1149	6269	8142	172	112	8363	25483
buenos aires	ezeiza	3916	4084	3339	17902	32832	490	75	51731	114369
buenos aires	florencio varela	9167	10133	7330	31242	59727	1030	167	138034	256830
buenos aires	florentino ameghino	159	73	153	2186	1667	36	15	2184	6473
buenos aires	general alvarado	903	773	1020	8514	7897	170	89	10489	29855
buenos aires	general alvear	279	50	233	2461	1919	9	17	2202	7170
buenos aires	general arenales	386	118	510	3912	3776	33	17	3297	12049
buenos aires	general belgrano	470	211	546	4507	3356	35	25	4169	13319
buenos aires	general guido	140	24	84	740	402	4	11	968	2373
buenos aires	general juan madariaga	690	402	707	4604	4216	30	24	3932	14605
buenos aires	general la madrid	347	113	282	2195	2153	109	34	1998	7231
buenos aires	general las heras	364	275	470	2924	2822	50	12	4694	11611
buenos aires	general lavalle	97	50	102	1328	1020	23	6	1233	3859
buenos aires	general paz	343	149	245	2429	2593	22	23	3726	9530
buenos aires	general pinto	300	121	256	2395	2183	49	8	3248	8560
buenos aires	general pueyrredon	10077	14925	16320	121752	113464	4659	553	140990	422740
buenos aires	general rodriguez	2411	2153	1985	12543	19316	319	42	31331	70100
buenos aires	general san martin	4989	10200	8584	62941	63294	1848	357	113590	265803
buenos aires	general viamonte	416	204	545	3871	3284	35	24	4549	12928
buenos aires	general villegas	925	172	1427	5773	6720	122	26	4417	19582
buenos aires	guamini	299	113	262	2292	2099	4	16	2839	7924
buenos aires	hipolito yrigoyen	212	88	265	1865	1777	37	16	2089	6349
buenos aires	hurlingham	2082	4978	3920	27228	29293	976	233	54804	123514
buenos aires	ituzaingo	2050	4688	4168	29404	26170	643	187	49586	116896
buenos aires	jose c. paz	5868	7221	5206	24765	43166	1008	199	92431	179864
buenos aires	junin	1576	1412	3942	18367	17067	421	46	21918	64749
buenos aires	la capital	194	70	164	1431	1067	15	4	1203	4148
buenos aires	la costa	1422	2058	2758	14798	17435	345	114	19645	58575
buenos aires	la matanza	21273	35022	25429	131684	178951	4477	768	422105	819709
buenos aires	la plata	8685	16797	14317	129295	97324	3044	726	171174	441362
buenos aires	lanus	6431	11609	8784	75390	58031	1417	346	131751	293759
buenos aires	laprida	316	113	230	2143	2047	43	15	2974	7881
buenos aires	las flores	687	407	938	4539	4878	88	48	5881	17466
buenos aires	leandro n. alem	429	160	547	3136	3536	70	17	4450	12345
buenos aires	lincoln	910	558	1477	9790	8263	102	71	8687	29858
buenos aires	loberia	419	176	495	3306	3209	105	28	3640	11378
buenos aires	lobos	925	494	1356	8375	6963	65	26	7351	25555
buenos aires	lomas de zamora	8654	15635	11925	84525	85401	2900	467	195846	405353
buenos aires	lujan	2030	2254	2580	19909	19762	485	36	26535	73591
buenos aires	magdalena	593	227	395	3523	2906	11	46	3442	11143
buenos aires	maipu	282	122	237	3188	1929	39	16	2750	8563
buenos aires	malvinas argentinas	4977	9019	6633	34784	56008	1032	302	108950	221705
buenos aires	mar chiquita	713	687	844	5845	6524	116	35	9142	23906
buenos aires	marcos paz	1569	1009	1341	6340	8959	236	26	18885	38365
buenos aires	mercedes	1108	1309	1552	13725	12947	305	31	15840	46817
buenos aires	merlo	10109	13432	9629	48504	75188	1765	369	161408	320404
buenos aires	monte	599	307	742	4842	4181	82	26	4882	15661
buenos aires	monte hermoso	190	141	234	1417	1867	35	13	2672	6569
buenos aires	moreno	7876	10816	8105	38583	68498	1337	255	139547	275017
buenos aires	moron	3337	8744	7912	61878	48000	1462	275	85720	217328
buenos aires	navarro	683	112	489	3686	3824	86	28	3872	12780
buenos aires	necochea	3212	1691	3362	18124	20030	440	70	17361	64290
buenos aires	olavarria	1890	2284	4834	18903	23314	623	75	24134	76057
buenos aires	patagones	532	485	922	5685	6616	159	35	7253	21687
buenos aires	pehuajo	1060	534	1276	7828	7752	232	61	9655	28398
buenos aires	pellegrini	203	39	154	1510	1406	27	8	1190	4537
buenos aires	pergamino	1682	1352	4220	21934	21187	599	34	20299	71307
buenos aires	pila	141	31	109	688	850	14	9	1082	2924
buenos aires	pilar	5124	6617	6631	42954	62486	1338	303	90537	215990
buenos aires	pinamar	444	551	862	5968	7653	161	43	6076	21758
buenos aires	presidente peron	2131	2037	1555	6803	13499	467	37	27430	53959
buenos aires	puan	278	201	671	3794	3528	89	34	2232	10827
buenos aires	punta indio	223	190	300	2116	2037	45	9	2580	7500
buenos aires	quilmes	9323	13171	10075	83457	81488	1483	485	177161	376643
buenos aires	ramallo	1000	391	1168	6229	6592	81	5	9182	24648
buenos aires	rauch	579	187	619	3061	2748	13	25	4015	11247
buenos aires	rivadavia	725	141	459	3867	3996	21	15	3346	12570
buenos aires	rojas	621	275	1121	5365	4745	108	30	4407	16672
